{'timestamp': '2024-01-30 21:44:23', 'cpu_usage': 63.5, 'memory_usage': 63.79, 'disk_free': 728484}
{'timestamp': '2024-01-30 21:44:34', 'cpu_usage': 7.1, 'memory_usage': 63.77, 'disk_free': 728474}
{'timestamp': '2024-01-30 21:44:53', 'cpu_usage': 29.1, 'memory_usage': 63.93, 'disk_free': 728442}
{'timestamp': '2024-01-30 21:45:02', 'cpu_usage': 15.4, 'memory_usage': 63.4, 'disk_free': 728423}
{'timestamp': '2024-01-30 21:45:11', 'cpu_usage': 17.6, 'memory_usage': 63.85, 'disk_free': 729008}
{'timestamp': '2024-01-30 21:45:19', 'cpu_usage': 17.2, 'memory_usage': 63.81, 'disk_free': 728995}
{'timestamp': '2024-01-30 21:45:28', 'cpu_usage': 9.6, 'memory_usage': 63.68, 'disk_free': 728989}
{'timestamp': '2024-01-30 21:45:37', 'cpu_usage': 13.7, 'memory_usage': 63.65, 'disk_free': 728973}
{'timestamp': '2024-01-30 21:59:11', 'cpu_usage': 9.3, 'memory_usage': 63.85, 'disk_free': 728733}
{'timestamp': '2024-01-30 21:59:17', 'cpu_usage': 9.3, 'memory_usage': 63.82, 'disk_free': 728733}
{'timestamp': '2024-01-30 21:59:24', 'cpu_usage': 23.2, 'memory_usage': 63.66, 'disk_free': 728733}
{'timestamp': '2024-01-30 21:59:30', 'cpu_usage': 3.8, 'memory_usage': 63.78, 'disk_free': 728726}
{'timestamp': '2024-01-30 21:59:36', 'cpu_usage': 9.8, 'memory_usage': 63.85, 'disk_free': 728726}
{'timestamp': '2024-01-30 21:59:43', 'cpu_usage': 8.9, 'memory_usage': 63.86, 'disk_free': 728726}
{'timestamp': '2024-01-30 21:59:49', 'cpu_usage': 1.8, 'memory_usage': 63.88, 'disk_free': 728726}
{'timestamp': '2024-01-30 21:59:56', 'cpu_usage': 59.6, 'memory_usage': 64.29, 'disk_free': 728726}
{'timestamp': '2024-01-30 22:00:02', 'cpu_usage': 66.1, 'memory_usage': 64.59, 'disk_free': 728714}
{'timestamp': '2024-01-30 22:00:08', 'cpu_usage': 8.0, 'memory_usage': 64.37, 'disk_free': 728714}
{'timestamp': '2024-01-30 22:00:15', 'cpu_usage': 34.4, 'memory_usage': 64.45, 'disk_free': 728714}
{'timestamp': '2024-01-30 22:00:21', 'cpu_usage': 17.9, 'memory_usage': 64.47, 'disk_free': 728714}
{'timestamp': '2024-01-30 22:00:27', 'cpu_usage': 17.3, 'memory_usage': 64.44, 'disk_free': 728714}
{'timestamp': '2024-01-30 22:00:34', 'cpu_usage': 12.0, 'memory_usage': 64.41, 'disk_free': 728714}
{'timestamp': '2024-01-30 22:00:40', 'cpu_usage': 16.1, 'memory_usage': 64.42, 'disk_free': 728714}
