{'timestamp': '2024-01-30 23:45:54', 'cpu_usage': 4.7, 'memory_free': 65.0, 'disk_free': 735671}
{'timestamp': '2024-01-30 23:46:07', 'cpu_usage': 6.3, 'memory_free': 65.1, 'disk_free': 735658}
{'timestamp': '2024-01-30 23:46:20', 'cpu_usage': 3.1, 'memory_free': 65.1, 'disk_free': 735658}
{'timestamp': '2024-01-30 23:46:33', 'cpu_usage': 3.1, 'memory_free': 65.1, 'disk_free': 735643}
{'timestamp': '2024-01-30 23:46:46', 'cpu_usage': 2.3, 'memory_free': 65.1, 'disk_free': 735630}
{'timestamp': '2024-01-30 23:46:59', 'cpu_usage': 3.0, 'memory_free': 65.0, 'disk_free': 735621}
{'timestamp': '2024-01-30 23:47:12', 'cpu_usage': 3.8, 'memory_free': 65.0, 'disk_free': 735621}
{'timestamp': '2024-01-30 23:47:25', 'cpu_usage': 3.1, 'memory_free': 65.0, 'disk_free': 735599}
{'timestamp': '2024-01-30 23:47:38', 'cpu_usage': 7.5, 'memory_free': 64.9, 'disk_free': 735590}
{'timestamp': '2024-01-30 23:47:51', 'cpu_usage': 1.6, 'memory_free': 64.9, 'disk_free': 735584}
{'timestamp': '2024-01-30 23:48:05', 'cpu_usage': 0.0, 'memory_free': 64.9, 'disk_free': 735575}
{'timestamp': '2024-01-30 23:48:18', 'cpu_usage': 0.8, 'memory_free': 64.9, 'disk_free': 735562}
{'timestamp': '2024-01-30 23:48:31', 'cpu_usage': 1.5, 'memory_free': 64.9, 'disk_free': 735552}
{'timestamp': '2024-01-30 23:48:44', 'cpu_usage': 3.0, 'memory_free': 64.9, 'disk_free': 735547}
{'timestamp': '2024-01-30 23:48:57', 'cpu_usage': 3.8, 'memory_free': 64.9, 'disk_free': 735538}
{'timestamp': '2024-01-30 23:49:10', 'cpu_usage': 2.3, 'memory_free': 64.8, 'disk_free': 735516}
{'timestamp': '2024-01-30 23:49:23', 'cpu_usage': 3.9, 'memory_free': 64.8, 'disk_free': 735504}
{'timestamp': '2024-01-30 23:49:36', 'cpu_usage': 3.8, 'memory_free': 64.6, 'disk_free': 735466}
{'timestamp': '2024-01-30 23:49:49', 'cpu_usage': 2.3, 'memory_free': 64.6, 'disk_free': 735463}
{'timestamp': '2024-01-30 23:50:02', 'cpu_usage': 9.4, 'memory_free': 64.5, 'disk_free': 735473}
{'timestamp': '2024-01-30 23:50:15', 'cpu_usage': 0.0, 'memory_free': 64.6, 'disk_free': 735432}
